RÉFÉRENCES LÉGALES – DROIT DU TRAVAIL ALGÉRIEN,,,,
Rubrique,Texte légal,Objet,Dispositions clés,
Code du Travail,Loi 90-11 (21/04/1990),Relations de travail,Art.27: 40h/sem | Art.31: HS +50%/+100% | Art.48: 30j congés | Art.73-74: Rupture,
CNAS,Décret Prés. N°96-208,Cotisations sociales,Salarié 9% | Patronal 26% | Accident travail 1.25%,
IRG 2025,Loi de Finances 2025,Impôt revenu global,0% ?30K | 20% 30-35K | 30% 35-80K | 35% >80K (mensuel),
SNMG,Décret Exécutif 2023,Salaire minimum,20 000 DA/mois brut,
Congé annuel,Art.48 Loi 90-11,Repos annuel payé,30 jours/an (2.5 jours par mois travaillé),
Congé maternité,Code du Travail,Protection maternité,14 semaines (3 avant + 11 après accouchement),
Heures sup.,Art.31 Loi 90-11,Travail supplémentaire,+50% pour les 8 premières heures | +100% au-delà,
Préavis,Art.73 Loi 90-11,Rupture CDI,1 mois (employé) | 3 mois (cadre),
Ind. licenciement,Art.74 Loi 90-11,Rupture par employeur,1 mois de salaire par année d'ancienneté,
CDD,Art.12 Loi 90-11,Contrat à durée déterminée,Renouvellement limité – Converti en CDI si dépassement,
Ancienneté,Conventions collectives,Prime d'ancienneté,Variable selon branche (généralement 2-10% du salaire de base),
